Frame  Ab-initio (eV)      PIPNN (eV)      Error (eV)
-------------------------------------------------------
    1       -0.525136       -0.525082        0.000055
    2       -0.550766       -0.550711        0.000055
    3       -0.568918       -0.568863        0.000055
    4       -0.581469       -0.581415        0.000055
    5       -0.589915       -0.589861        0.000055
    6       -0.595408       -0.595353        0.000055
    7       -0.598816       -0.598762        0.000055
    8       -0.600780       -0.600725        0.000055
    9       -0.601761       -0.601706        0.000055
   10       -0.602089       -0.602034        0.000055
   11       -0.601995       -0.601941        0.000055
   12       -0.601640       -0.601585        0.000055
   13       -0.601133       -0.601079        0.000055
   14       -0.600548       -0.600494        0.000055
   15       -0.599934       -0.599880        0.000055
   16       -0.599323       -0.599268        0.000055
   17       -0.598732       -0.598678        0.000055
   18       -0.598175       -0.598120        0.000055
   19       -0.597656       -0.597602        0.000055
   20       -0.597179       -0.597125        0.000055
   21       -0.596744       -0.596689        0.000055
   22       -0.596348       -0.596293        0.000055
   23       -0.595990       -0.595935        0.000055
   24       -0.595667       -0.595612        0.000055
   25       -0.595376       -0.595322        0.000055
   26       -0.595115       -0.595060        0.000055
   27       -0.594881       -0.594826        0.000055
   28       -0.594671       -0.594616        0.000055
   29       -0.594482       -0.594428        0.000055
   30       -0.594313       -0.594259        0.000055
   31       -0.594162       -0.594107        0.000055
   32       -0.594026       -0.593972        0.000055
   33       -0.593905       -0.593850        0.000055
   34       -0.593796       -0.593741        0.000055
   35       -0.593698       -0.593644        0.000055
   36       -0.593611       -0.593556        0.000055
   37       -0.593532       -0.593477        0.000055
   38       -0.593461       -0.593407        0.000055
   39       -0.593398       -0.593343        0.000055
   40       -0.593341       -0.593287        0.000055
   41       -0.593290       -0.593236        0.000055
   42       -0.593244       -0.593190        0.000055
   43       -0.593203       -0.593149        0.000055
   44       -0.593166       -0.593112        0.000055
   45       -0.593133       -0.593078        0.000055
   46       -0.593103       -0.593048        0.000055
   47       -0.593076       -0.593022        0.000055
   48       -0.593052       -0.592997        0.000055
   49       -0.593030       -0.592976        0.000055
   50       -0.593011       -0.592956        0.000055
   51       -0.592993       -0.592939        0.000055
   52       -0.592977       -0.592923        0.000055
   53       -0.592963       -0.592908        0.000055
   54       -0.592950       -0.592896        0.000055
   55       -0.592939       -0.592884        0.000055
   56       -0.592928       -0.592874        0.000055
   57       -0.592919       -0.592864        0.000055
   58       -0.592911       -0.592856        0.000055
   59       -0.592903       -0.592848        0.000055
   60       -0.592896       -0.592842        0.000055
   61       -0.592890       -0.592836        0.000055
   62       -0.592885       -0.592830        0.000055
   63       -0.592880       -0.592825        0.000055
   64       -0.592875       -0.592821        0.000055
   65       -0.592871       -0.592817        0.000055
   66       -0.592868       -0.592813        0.000055
   67       -0.592864       -0.592810        0.000055
